"A2A.MI","AMP.MI","ATL.MI","AZM.MI","BGN.MI","BMED.MI","BAMI.MI","BPE.MI","BZU.MI","CPR.MI","CNHI.MI","DIA.MI","ENEL.MI","ENI.MI","EXO.MI","FBK.MI","G.MI","HER.MI","IP.MI","ISP.MI","LDO.MI","MB.MI","MONC.MI","PRY.MI","REC.MI","SPM.MI","SRG.MI","STLA.MI","STM.MI","TIT.MI","TEN.MI","TRN.MI","UCG.MI","UNI.MI","date"
0.650645,4.687579,16.588612,11.728111,17.13286,3.670726,6.746819,5.23238,9.77831,2.383177,5.780134,30.493801,2.804585,10.205766,32.832218,3.884755,12.014894,1.589368,11.294734,1.543052,7.273526,5.534585,10.325103,12.74128,11.195083,11.002684,2.946623,4.258765,5.324728,0.852947,9.932479,2.882939,22.194391,3.328204,"2015-01-02"
0.62923,4.80716,15.931392,11.594112,16.831381,3.574849,6.455329,4.974512,9.284738,2.328853,5.48169,31.1217,2.623202,9.352369,31.811878,3.812633,11.584783,1.572991,11.181504,1.451249,6.991242,5.292724,9.961348,12.297302,11.35795,10.476358,2.848306,4.166327,5.234986,0.827632,9.397099,2.789047,20.724293,3.187935,"2015-01-05"
0.619885,4.80716,15.981304,11.35802,16.676964,3.554304,6.15074,4.786972,9.079859,2.383177,5.613356,30.757702,2.661308,9.478284,31.611618,3.770015,11.634138,1.594281,11.021093,1.431127,6.915966,5.220165,10.01731,12.30568,11.22937,10.40117,2.835293,4.232354,5.187978,0.834934,9.516961,2.770576,20.43844,3.124176,"2015-01-06"
0.61638,4.936307,16.363993,11.37078,16.507841,3.516638,6.127814,4.679136,9.35924,2.406796,5.608967,30.530199,2.656735,9.527248,31.840481,3.701172,11.662345,1.580361,10.813505,1.413521,7.024175,5.220165,10.119909,12.14652,11.135077,10.144273,2.836738,4.269769,5.294813,0.828605,9.357147,2.758263,20.238342,3.055636,"2015-01-07"
0.644026,4.672273,16.505417,11.594112,16.426958,3.612515,6.442229,4.913562,9.564118,2.505997,5.709911,30.393711,2.777149,9.897985,32.555679,3.720842,12.043098,1.629491,11.087144,1.491491,7.381734,5.474119,10.287796,12.515103,11.272229,10.357309,2.904693,4.386417,5.504211,0.851974,9.556913,2.789047,21.214325,3.132146,"2015-01-08"
0.630787,4.685665,16.671804,11.37078,16.434311,3.48582,5.960781,4.585366,9.321989,2.496549,5.508024,30.530199,2.63692,9.527248,31.850025,3.637246,11.789262,1.608201,11.106016,1.431127,7.19825,5.212103,10.530302,12.196779,11.460814,10.000161,2.826618,4.366609,5.414471,0.832013,9.349155,2.750567,20.050497,3.098672,"2015-01-09"
0.627672,4.869342,17.137682,11.255924,16.360779,3.506365,5.8396,4.504724,9.387177,2.515444,5.687967,30.803204,2.62625,9.576212,32.565212,3.707729,11.951435,1.621303,11.219248,1.462567,7.325278,5.272568,10.548956,12.439711,11.529391,9.028968,2.867101,4.476655,5.51276,0.843211,9.109433,2.765959,20.287348,3.108237,"2015-01-12"
0.632734,4.988924,17.378939,11.702588,16.618139,3.578273,5.895278,4.609746,9.415115,2.602835,5.718689,30.393711,2.700938,9.730103,32.841755,3.770015,12.057199,1.639317,11.275862,1.506582,7.428782,5.353189,10.85675,12.473218,11.675116,9.429976,2.917706,4.560289,5.564042,0.880211,9.173358,2.805978,20.765127,3.132146,"2015-01-13"
0.624168,5.022406,16.96298,11.485636,16.346075,3.506365,5.859251,4.566612,8.968106,2.527254,5.591412,30.930601,2.649114,9.443307,32.097954,3.79952,11.916179,1.637679,11.049401,1.504067,7.424078,5.316909,10.446357,12.08788,11.632256,9.348521,2.845413,4.476655,5.542675,0.855868,8.989573,2.736714,20.499695,3.130552,"2015-01-14"
0.633513,5.079805,17.736666,11.460114,16.39019,3.557728,6.026284,4.669759,9.028638,2.565044,5.683578,30.348206,2.757334,9.793059,32.851292,3.788047,12.043098,1.658969,11.087144,1.548082,7.687543,5.421716,11.052619,12.263796,11.606539,9.254536,2.906139,4.516272,5.628143,0.864145,9.349155,2.8029,20.744711,3.144898,"2015-01-15"
0.652982,5.079805,17.803223,11.689825,16.55196,3.650182,6.288297,4.791661,9.126422,2.600473,5.7538,30.839598,2.832021,10.121826,33.223194,3.770015,12.254626,1.673708,11.134324,1.570719,7.998055,5.502336,11.239161,12.464842,11.752264,9.417444,2.971202,4.617513,5.687973,0.892868,9.556913,2.850615,21.336832,3.219814,"2015-01-16"
0.65376,5.103721,17.803223,11.823825,16.728437,3.704968,6.812322,5.199562,9.280081,2.598112,5.666022,30.730408,2.821352,10.037887,32.879898,3.802799,12.332188,1.678621,11.077708,1.59084,8.002761,5.752259,11.360413,12.674264,11.880844,9.373585,2.987107,4.652729,5.717887,0.905526,9.684768,2.884478,21.847282,3.299513,"2015-01-19"
